,marketcap
1673,8878026752
1674,8876970329
1675,8867161595
1676,8852842642
1677,8850477937
1678,8821947392
1679,8815256142
1680,8812837888
1681,8811098112
1682,8796061001
1683,8788152191
1684,8783855010
1685,8772760537
1686,8772646545
1687,8770199552
1688,8768506664
1689,8756439040
1690,8740330496
1691,8711330971
1692,8710015515
1693,8702621696
1694,8693363084
1695,8682362880
1696,8675205120
1697,8662807552
1698,8660694016
1699,8639830879
1700,8639620096
1701,8639617024
1702,8631193600
1703,8622906361
1704,8616685743
1705,8613862836
1706,8606427024
1707,8604896659
1708,8600891392
1709,8572749770
1710,8569556992
1711,8562101760
1712,8555236352
1713,8546182475
1714,8537933052
1715,8512130560
1716,8508166144
1717,8505796852
1718,8499546112
1719,8498996224
1720,8493104640
1721,8484383232
1722,8463990029
1723,8446455725
1724,8430484654
1725,8429041753
1726,8429019489
1727,8425148134
1728,8414436600
1729,8412633088
1730,8412497408
1731,8408657408
1732,8399879453
1733,8399181312
1734,8368163840
1735,8364627760
1736,8343146683
1737,8341703908
1738,8338899513
1739,8337716736
1740,8336448372
1741,8327842304
1742,8323926449
1743,8312643909
1744,8302166016
1745,8291785728
1746,8287046656
1747,8277865472
1748,8271989739
1749,8256697856
1750,8246901760
1751,8244197208
1752,8242914557
1753,8232981504
1754,8228278412
1755,8222739202
1756,8219734528
1757,8218105998
1758,8216155555
1759,8191326038
1760,8183930880
1761,8182127616
1762,8180153856
1763,8174396779
1764,8155180032
1765,8143378944
1766,8132332561
1767,8131383808
1768,8129304064
1769,8122072064
1770,8116221300
1771,8100259239
1772,8099572816
1773,8099434496
1774,8097717248
1775,8096492544
1776,8095316480
1777,8093576170
1778,8092855337
1779,8085087744
1780,8078705119
1781,8069946398
1782,8066525184
1783,8064209408
1784,8041637888
1785,8035065856
1786,8018963456
1787,8014475916
1788,8012934656
1789,8008704512
1790,8002092076
1791,8001307648
1792,7980945408
1793,7971790848
1794,7969234432
1795,7966210048
1796,7955280384
1797,7947216877
1798,7945870817
1799,7945620216
1800,7942823936
1801,7939780608
1802,7934950400
1803,7933263450
1804,7929698816
1805,7927627622
1806,7925951905
1807,7915784704
1808,7913334706
1809,7906244608
1810,7904388608
1811,7888356708
1812,7887839744
1813,7883980673
1814,7879645137
1815,7877969001
1816,7871188992
1817,7853839872
1818,7852245504
1819,7847419392
1820,7845171849
1821,7837494591
1822,7837346816
1823,7833849189
1824,7832452122
1825,7825537200
1826,7821509632
1827,7815549952
1828,7813740544
1829,7806855624
1830,7796100608
1831,7784827392
1832,7779662157
1833,7777502720
1834,7759723520
1835,7759117294
1836,7753839103
1837,7741130037
1838,7735241728
1839,7717037056
1840,7713830400
1841,7711490039
1842,7692866560
1843,7686665728
1844,7686099968
1845,7685218677
1846,7669098496
1847,7665951744
1848,7663669994
1849,7663158784
1850,7655300608
1851,7653749760
1852,7647357074
1853,7644665965
1854,7640903631
1855,7640721408
1856,7628835328
1857,7610496512
1858,7604183300
1859,7589676491
1860,7588963955
1861,7578539008
1862,7569149764
1863,7565529600
1864,7553001472
1865,7547640832
1866,7544595968
1867,7536575952
1868,7536014785
