,Smoking
1158,84277.26407
1159,84394.65996
1160,87192.74408
1161,87816.75497
1162,87240.50525
1163,88295.21747
1164,88774.26243
1165,88554.30404
1166,91627.6679
1167,93970.16992
1168,94130.55064
1169,93718.43231
1170,94814.93999
1171,96240.19391
1172,98060.05656
1173,99201.35164
1174,100791.1365
1175,102120.4082
1176,22635.14348
1177,23107.01002
1178,23534.45008
1179,23944.07021
1180,24554.43389
1181,25165.51642
1182,25735.46976
1183,25693.95156
1184,26274.66608
1185,26436.50851
1186,26639.40693
1187,26667.29274
1188,26323.22139
1189,26651.50566
1190,26635.43289
1191,26333.69842
1192,26616.23928
1193,26766.22883
1194,27123.85418
1195,27503.61793
1196,27765.28473
1197,28251.65353
1198,28735.55958
1199,28974.51844
1200,29096.64926
1201,29432.3207
1202,29806.0368
1203,30294.04654
1204,855.3488595
1205,859.3371216
1206,883.3427366
1207,918.1808438
1208,942.5462447
1209,964.2281961
1210,1024.61785
1211,1071.451316
1212,1109.855121
1213,1155.338631
1214,1189.778282
1215,1223.468664
1216,1253.428663
1217,1290.107428
1218,1307.06632
1219,1311.167967
1220,1328.176397
1221,1363.011724
1222,1395.827033
1223,1432.674639
1224,1471.875157
1225,1505.402482
1226,1533.719811
1227,1550.519624
1228,1575.568674
1229,1601.553649
1230,1631.953439
1231,1657.958992
1232,9775.076868
1233,8926.910856
1234,8428.903025
1235,8573.494259
1236,8636.250712
1237,8776.981312
1238,8705.256891
1239,8557.208802
1240,8571.855091
1241,8610.101954
1242,8407.808041
1243,8829.487597
1244,8792.788379
1245,9104.526308
1246,9246.229247
1247,9210.423624
1248,9244.912285
1249,9366.74696
1250,9246.159054
1251,9703.232003
1252,9877.276994
1253,9790.76563
1254,9841.082207
1255,10008.02877
1256,9921.52474
1257,10020.71908
1258,10152.88817
1259,10405.15837
1260,1244435.027
1261,1297260.494
1262,1340377.101
1263,1380468.195
1264,1416976.915
1265,1460824.661
1266,1501975.581
1267,1536007.021
1268,1584994.366
1269,1622265.235
1270,1665028.578
1271,1694408.8
1272,1736746.982
1273,1789983.243
1274,1808208.317
1275,1776703.089
1276,1727332.88
1277,1722225.965
1278,1746685.586
1279,1791369.902
1280,1842276.022
1281,1879636.795
1282,1910145.364
1283,1914269.023
1284,1996964.155
1285,2103487.913
1286,2174910.64
1287,2197652.614
1288,17958.95585
1289,19170.55388
1290,19612.72021
1291,19383.64891
1292,19703.78193
1293,19879.33928
1294,19987.89142
1295,18926.9511
1296,18391.41794
1297,18302.98064
1298,18103.38623
1299,18118.05672
1300,19738.96696
1301,18460.66617
1302,18422.0848
1303,18065.28382
1304,18587.53846
1305,18237.12996
1306,18399.31532
1307,18821.77912
1308,18631.79417
1309,18012.06371
1310,18055.14207
1311,18082.59192
1312,18099.64985
1313,18559.94842
1314,19009.22886
1315,19433.68056
1316,159.8167962
1317,161.3621883
1318,162.8343756
1319,164.6341052
1320,167.0027256
1321,168.8468807
1322,171.5004675
1323,172.2600233
1324,172.7971112
1325,168.4346871
1326,167.6285085
1327,164.4919316
1328,163.6132836
1329,160.621463
1330,160.1522049
1331,159.7110976
1332,160.9391138
1333,162.0513387
1334,163.2761971
1335,165.2499158
1336,164.5773993
1337,168.1151436
1338,169.85335
1339,172.2260861
1340,174.3705363
1341,176.535595
1342,178.4972255
1343,180.4491735
1344,1456.679243
1345,1426.427328
1346,1434.203088
1347,1444.187785
1348,1491.236255
1349,1524.190661
1350,1529.132768
1351,1544.365928
1352,1498.086085
1353,1492.256752
1354,1458.77102
1355,1391.117763
1356,1345.324122
1357,1346.632788
1358,1336.669917
1359,1322.474989
1360,1313.508145
1361,1325.457967
1362,1338.591856
1363,1350.220948
1364,1351.255836
1365,1357.098388
1366,1390.958638
1367,1417.155885
1368,1451.199487
1369,1481.025052
1370,1512.118364
1371,1556.248047
1372,1409.231701
1373,1434.203765
1374,1473.631754
1375,1489.331543
1376,1570.273531
1377,1632.320348
1378,1586.902871
1379,1600.570075
1380,1635.664668
1381,1692.100766
1382,1635.355078
1383,1650.647528
1384,1631.733519
1385,1663.316116
1386,1685.215263
1387,1603.793652
1388,1671.941965
