,total_cases
1502,10371635.0
1503,10389053.0
1504,10419253.0
1505,10446204.0
1506,10481433.0
1507,10530788.0
1508,10568210.0
1509,10609278.0
1510,10625760.0
1511,10652684.0
1512,10708754.0
1513,10742258.0
1514,10779762.0
1515,10808318.0
1516,10841290.0
1517,10857676.0
1518,10887086.0
1519,10914089.0
1520,10933736.0
1521,10965601.0
1522,10983164.0
1523,11005599.0
1524,11022188.0
1525,11037508.0
1526,11054861.0
1527,11076290.0
1528,11097324.0
1529,11115635.0
1530,11129544.0
1531,11141080.0
1532,11154945.0
1533,11168844.0
1534,11186971.0
1535,11204559.0
1536,11221310.0
1537,11230679.0
1538,11245929.0
1539,11257150.0
1540,11270149.0
1541,11283739.0
1542,11296078.0
1543,11308176.0
1544,11316925.0
1545,11325440.0
1546,11333186.0
1547,11340541.0
1548,11347277.0
1549,11353380.0
1550,11360242.0
1551,11367320.0
1552,11370744.0
1553,11374626.0
1554,11390548.0
1555,11395732.0
1556,11412768.0
1557,11418170.0
1558,11428965.0
1559,11431460.0
1560,11433679.0
1561,11436622.0
1562,11440634.0
1563,11443136.0
1564,11456639.0
1565,11458634.0
1566,11460017.0
1567,11467302.0
1568,11473169.0
1569,11475504.0
1570,11490082.0
1571,11492653.0
1572,11494578.0
1573,11496061.0
1574,11501709.0
1575,11505957.0
1576,11556141.0
1577,11558935.0
1578,11559547.0
1579,11559975.0
1580,11564147.0
1581,11569101.0
1582,11577980.0
1583,11580512.0
1584,11582523.0
1585,11584668.0
1586,11586138.0
1587,11587278.0
1588,11591379.0
1589,11594663.0
1590,11597069.0
1591,11603368.0
1592,11605641.0
1593,11607125.0
1594,11608191.0
1595,11609252.0
1596,11615890.0
1597,11621109.0
1598,11626590.0
1599,11631753.0
1600,11636223.0
1601,11639602.0
1602,11643055.0
1603,11649517.0
1604,11656249.0
1605,11661254.0
1606,11666900.0
1607,11732241.0
1608,11737416.0
1609,11682837.0
1610,11687065.0
1611,
1612,
1613,
1614,
1615,
1616,
1617,
1618,
1619,
1620,
1621,
1622,
1623,
1624,2.0
1625,10.0
1626,12.0
1627,23.0
1628,33.0
1629,38.0
1630,42.0
1631,51.0
1632,55.0
1633,59.0
1634,64.0
1635,70.0
1636,76.0
1637,89.0
1638,104.0
1639,123.0
1640,146.0
1641,174.0
1642,186.0
1643,197.0
1644,212.0
1645,223.0
1646,243.0
1647,259.0
1648,277.0
1649,304.0
1650,333.0
1651,361.0
1652,377.0
1653,383.0
1654,400.0
1655,409.0
1656,416.0
1657,433.0
1658,446.0
1659,467.0
1660,475.0
1661,494.0
1662,518.0
1663,539.0
1664,548.0
1665,562.0
1666,584.0
1667,609.0
1668,634.0
1669,663.0
1670,678.0
1671,712.0
1672,726.0
1673,736.0
1674,750.0
1675,766.0
1676,773.0
1677,782.0
1678,789.0
1679,795.0
1680,803.0
1681,820.0
1682,832.0
1683,842.0
1684,850.0
1685,856.0
1686,868.0
